uuid,name,mmsi,imo,eni,country_iso,type,type_specific,lat,lon,speed,course,heading,destination
4cd6ea87-c4c3-06ac-46cf-93bcdfb20f24,35 HEE YOUNG HO,440104580,,,KR,,Unspecified,35.073734,128.61183,0.1,236,,
d702c961-b8c3-a26d-ac17-8dd9f90efcae,CHEONMA 1HO,440300810,,,KR,Light Vessel - LANBY - Rig,Light Vessel - LANBY - Rig,35.1474,128.62996,0,143,,
5e9ef8fd-475c-16bd-b03c-42297c0e0abc,CHEONG HAE,441846000,9638252,,KR,Other,Special Vessel,35.146439,128.62909,0,103,60,NAVAL BASE JINHAE
9a2b9ec1-6da1-f670-8bdb-242e48b44959,HAESUNG2,440401350,,,KR,,Unspecified,35.05501667,128.9725967,0,330.6,511,
51c19b35-ee20-bd9f-665f-7581bf25a9ba,306 SEO JIN,,,,,,,35.055374,128.97276,0,183,,
a8b8a4cb-67d8-1294-f0b2-e11c03ff0175,JAEBEOL,440306190,,,KR,Fishing,Fishing,35.055375,128.972765,0,183.5,511,
9eca6027-5d5c-6c5c-0578-d2aec38d044c,ANJINHO,440155280,,,KR,Other,Other,35.056225,128.97314,3.9,276,,
575d3e5c-478a-8608-dda2-ea0f991194a9,KOHYUNJOONGANG 3,994401620,,,KR,Reference Point,Reference Point,35.020966,128.6201,,,,
b635607e-a635-5b4c-3d01-7d00a7ccb6bd,KCG 511,441648000,,,KR,,Unspecified,35.053555,128.97952,0,250,186,
55ccdd22-947a-f12a-7366-026d15450135,511HAM,441648000,,,KR,Law Enforce,Law Enforce,35.05354,128.97952,0,250.7,186,
a8c65bf9-d3f5-b7bc-521c-eef0ad56ce45,MORNING CORNELIA,440797000,9519145,,KR,Cargo,Vehicles Carrier,35.123768,128.6096,14.3,336,335,KR MAS
a8226f3a-9f46-8b45-4f61-45a486ba0a83,UNITY,442303030,9388792,,,,,35.05317667,128.98004,0,0,183,
2abf183e-7907-465e-f4ee-4933fca40ca9,KCG 306,,,,,,,35.053181,128.98007,0,0,183,
e697aef5-0767-6426-2c6c-2df5458357ae,SEODO,994401586,,,KR,"Light, without Sectors","Light, without Sectors",35.027779,128.97278,,,,
cde9f374-7301-4c63-a67e-49f796e69411,KCG P28,440112240,,,KR,Law Enforce,Law Enforce,35.05235667,128.9820283,0,227.9,3,
fdc06803-d523-3069-8188-1d4e82193b7a,KCG T 02,440018800,,,KR,,Unspecified,35.05205333,128.9819633,0,313.4,301,
4e501998-56db-8986-345c-4ed5a9bbcddd,KCG T 01,440460050,,,KR,,Unspecified,35.051815,128.9825,0,235,123,
0d195cd9-6e82-23f5-2514-0938751fd267,HHIC T1,440078000,8746820,,KR,Tug,Tug,35.05514167,128.9890233,0.2,249.7,261,BUSAN
ce28bd65-757d-7c97-84ab-31c085661499,USNS SACAGAWEA,369855000,9271420,,US,Military Ops,Replenishment Vessel,35.041592,128.59767,0.1,99,221,GREENER PASTURES
b646d066-75d5-3b65-67f6-d33aea63d413,KAPITAN BOGOMOLOV,273528800,8607402,,RU,Fishing,Fishing Vessel,35.080624,128.99278,0,,182,BUSAN
16a5661d-f492-dc9c-489c-5304b7dbe50f,SEA HUNTER,273336810,8905737,,RU,Fishing,Fishing Vessel,35.081684,128.99287,0,19,185,BUSAN
f0d4122d-4380-d204-e6ae-5a77f8cb6cd3,TAURUS,273388860,9281035,,RU,Fishing,Fishing Vessel,35.0835,128.993,0.1,360,511,PUSAN
4d3aa1c2-6c96-6582-8a17-60032c433d4d,HANSUNG,671787000,8513390,,TG,Cargo,Vehicles Carrier,35.08283,128.993035,0,340.1,167,KR PUS
21689504-5766-3d7f-7de8-aa4b8e3ad5f4,LAVINNYY,273827000,8808575,,RU,Fishing,Fishing Vessel,35.08021833,128.9931767,0,205.4,75,PUSAN
93ee223b-e94c-d963-6b65-ad7405c165bd,ASKUR,273415240,8800468,,RU,Fishing,Trawler,35.080029,128.99324,0,278,72,BUSAN
d1062409-d43d-dcb4-84df-6ed7f3ef4746,ENCORE,354864000,9570943,,PA,Cargo,General Cargo,34.9167,128.82205,0.1,262.2,191,KR MAS
740ff9d2-9606-b374-03a7-421a2c3cfd00,PAVEL KUTAKHOV,273526700,8607282,,RU,Fishing,Fishing Vessel,35.08004667,128.9938583,0,0,73,PUSAN
91a3c2e2-b859-18ec-c2d4-c2a4554b20d0,MING HONG,312866000,8890815,,BZ,Cargo,General Cargo,34.914785,128.7977933,0.1,113.2,226,KR MAS MN
4eb00dc1-2e91-91e0-7a7a-d364b344e117,NEREY,273416640,9129445,,RU,Cargo,General Cargo,35.07318667,128.99402,0,5.8,84,KR BUSAN
94c8e97d-6ed1-7fec-af66-67c100f1f10d,VASILIY KAPLYUK,273446750,9836282,,RU,Fishing,Fishing Vessel,35.07171333,128.993985,0,0,511,BUSAN
4311e064-ab0e-1165-14b1-85947bef31b3,MERCURY,273430250,9262170,,RU,Cargo,Oil Products Tanker,35.072971,128.99411,0,,87,KRPUS
073dc8d7-ca87-377e-fc85-bae393eeb755,BLUE SEA NO1,457229000,8007705,,MN,Cargo,Fish Carrier,35.083408,128.99564,0,209,81,PUSAN
d196499c-f42e-ef6a-16bf-4ac787a6a204,GROMOBOY,273386140,9201279,,RU,Fishing,Fishing Vessel,35.06891,128.9955767,0,360,511,S.KOREA
12e2b6fb-3852-dd22-5331-8378bfc99c91,INCHEON CHEMI,440306000,9297711,,KR,Tanker - Hazard A (Major),Oil or Chemical Tanker,35.067215,128.99547,0,118,0,KR PUS
f0c255ac-f263-99aa-8565-56af394bf6c7,CHANG XIA,352004958,1052414,,PA,Cargo,General Cargo,35.065506,128.99551,0,0,0,KR PUS
ca58df5b-1c74-d4a2-5201-4cff3caae996,AN RUN DA 6,352003360,1038456,,PA,Cargo,Bulk Carrier,35.06393,128.99544,0,272.1,2,KR PUS
9d41fd6b-9ea2-f293-cd21-8f99bcadcc30,,440207733,,,,,,35.06270833,128.9956717,0,354.2,163,
838b5777-41f7-dd6d-aa4a-b594a34cb9cc,KCG OSRV 12,440207740,,,KR,Anti-Pollution,Anti-Pollution,35.062705,128.995675,0.1,354.2,163,
d38a45e0-8bcc-9c73-e5f5-6fbb2fa4ad1d,RUN FENG,312656000,9161625,,BZ,Cargo,General Cargo,34.91238333,128.808525,0.2,237.1,217,KR MAS
6311dc92-6175-09a2-8b5d-b99629c6485b,USNS DAHL,368700000,9117040,,US,Military Ops,Logistics Naval Vessel,35.030514,128.59563,0.2,150,225,KR CHF
80699004-26fb-c0eb-6133-a7313b2f9fcb,FU NENG 1,352004623,1081582,,PA,Cargo,Bulk Carrier,35.08095667,128.9980533,0,76.9,342,KR PUS
5f2224f8-4221-f73d-f93e-9664e83bae80,FEDERAL ILLINOIS,357359000,9860647,,PA,Cargo,Bulk Carrier,35.05911667,128.9971417,0,123.9,343,PA BLB
01414ad2-88a7-1ab1-1024-4a0b8bcc2f64,JINDALLAE,440112730,9148817,,KR,Tug,Tug,35.08332333,128.9992283,0.1,314.5,159,
a71c3f38-89f8-b6d7-9d7e-d8b4828b81ec,SUN JIN NO303,440406750,,,KR,,Unspecified,35.083302,128.99933,0,327,256,
19f593ca-dde2-f424-bc93-23420bb76314,SUNJIN 702,440713100,,,KR,Tug,Tug,35.08342833,128.999685,0,11.8,255,
f7265bb0-b7d1-b1f0-f8d1-e34b876ca672,212 HWANG RYONG,440116550,9753997,,KR,Tug,Tug,35.083385,128.99977,0.1,20,,
136642a7-d0eb-8d21-367b-8fbd295e9b08,KUKHWA NO.1,440127670,,,KR,Tug,Tug,35.083271,128.9998,0,185,,
c420cac3-a581-e7a3-34d2-684e1d4a431a,KUKHWA NO1,440127670,9192038,,KR,Tug,Tug,35.08326167,128.999815,0,185.7,511,
c9f6aa26-d782-9cfe-b459-32947807808f,NO.706 BUSAN,440103200,,,KR,Sailing Vessel,Sailing Vessel,35.083595,129.00014,0,333,252,GAMCHUNPORT
bd2a2442-5609-00b1-16d9-b6cc84892590,DE QIN 66,352004562,1083554,,PA,Cargo,General Cargo,35.079975,129.00037,0,14,281,PUS/KR
9a77867b-1b14-a023-ceaa-00446a00cce2,KOMANDOR,273299680,9139610,121,RU,Fishing,Factory Trawler,35.05789167,128.9986983,0.1,81.3,64,BUSAN
86db9f1f-3222-d658-f121-1e179c8f4806,GIANT SAMBU,441181000,9390707,,KR,Tanker,Oil or Chemical Tanker,35.0561,128.9984833,0,23,511,KR PUS
24b1fc02-d069-81bf-d302-990f1e378654,MEKHANIK KOVTUN,273810100,8907125,,RU,Fishing,Fishing Vessel,35.05765,128.9989667,0,303.9,65,KRPUS
020cb7c9-575a-41b1-7081-951162c54583,KAPITAN KAYZER,273339660,8907149,,RU,Fishing,Fishing Vessel,35.05746667,128.9990167,0,186.7,66,BUSAN
159b8593-64a6-4cc7-e378-90a03761a948,SCORPIO 11,352004270,9507843,,PA,Cargo,General Cargo,35.081429,129.00121,0,193,284,KR PUS OFF
f2d099ff-4cbf-30d7-a28b-4a7be7a6b021,DONG NAM ACE,440215590,9254367,,KR,Tanker,Oil Products Tanker,35.152679,128.60265,5.1,351,353,
2d4c5550-6f99-cbf1-ca85-1f4490e2e7d1,TONG YOUNG,441441000,9415014,,KR,Tanker,Oil or Chemical Tanker,35.05453333,128.9996667,0,149,74,KR ULSAN
b6ae846b-6f7a-7e23-92cb-bbd9e9f51e07,HAEDUCK OKPO,441773000,8869701,,KR,Cargo,General Cargo,35.054265,128.9997083,0.1,0,511,
6eb566d7-f415-8e40-ea2e-5c5fb4599fd0,102 DONG SUNG HO,440121620,,,KR,Tug,Tug,35.05401833,129.0001183,0.1,74.5,122,
7e70ecfe-92e6-aab6-47fc-8070dd046d5d,UL SAN 5005,440101241,,,KR,Port Tender,Port Tender,35.05394,129.000165,0,0,511,
f7cce2a6-481f-3ece-f627-cc4b51d2815c,VASCO,440714000,9010345,,KR,Fishing,Fishery Patrol Vessel,35.05191667,129.00035,0,264.9,89,SEYCHELLES
a8132059-1d3c-cfd2-8060-9a33a83a7300,DOOLA STBB,440232053,,,,,,35.05073667,129.0005017,0,134.5,511,"BSN/KR  '$,"
f49ec9e5-5e5d-769b-be99-3d91084c27e0,DOOLA STAR,440232000,9321809,,KR,Tanker - Hazard A (Major),Oil or Chemical Tanker,35.05063167,129.0004917,0,110,511,DSN/KR
3f4723e8-7109-ff01-75c7-514ccd04c541,SEIBU,441418000,9684067,,KR,Cargo,Reefer,35.079628,129.00429,0,124,174,BUSAN-KR
ba644161-19a3-9d9b-9029-bbde0f546826,NO.651 DONGWON,440079000,,,KR,Fishing,Fishing,35.0785,129.0043333,0,43,511,
bed35f7e-893b-105c-e5a4-3f8e3999a4d7,FOTON,273441920,8621161,,RU,,Fishing Vessel,35.077732,129.00446,0.1,,172,PUSAN
a91f096e-69ff-759e-8f06-5d0acfac4e3e,HYAE MIN NO.1,440328740,9118939,,KR,Cargo,General Cargo,35.085255,129.00446,0.1,45,46,M CK
0c41b688-1047-c3da-29e4-b9f5ca7f1d63,HAITIAN,667001280,9047843,,SL,Cargo,General Cargo,35.077229,129.00459,0,194,,BUSAN KOREA
75addf73-adc8-9a68-5615-5e166d232e07,SPRING EURO,372786000,9392896,,PA,Tanker - Hazard B,Oil or Chemical Tanker,35.085068,129.00479,0,45,45,KR BUSAN
7d3bfefe-ca82-6f0f-d70b-9e1f72156e15,EKARMA 3,273897300,8897411,,RU,Fishing,Fishing Vessel,35.085182,129.00487,0,,227,PUSAN
